barrio_key,barrio_nombre,tree_density,refugios_300m,refugios_400m,refugios_proximos,fuentes_400m,fuentes_proximas,no2_medio,pop_65plus,coverage_ratio_300m,coverage_ratio_400m,coverage_ratio,coverage_ratio_suavizado,vulnerability_index_raw,vulnerability_index,log_pop,log_pop_norm,priority_score,priority_score_norm
1701,Villaverde Alto - Casco Histórico de Villaverde,1450.9326104981674,0,0,0,3,3,28.36695017266135,8413,0.0,0.0,0.0,0.0118863663378105,6.040103011016084,0.9831753575019258,9.037652264150466,0.9167282419542385,0.9013046170154704,1.0
1801,Casco Histórico de Vallecas,251.8299875532448,0,0,0,0,0,25.07879390462244,7337,0.0,0.0,0.0,0.0136295488619326,6.108329872400705,0.9942809576399896,8.900821604915228,0.9028489151091764,0.8976854839189776,0.9959845616807368
1901,Casco Histórico de Vicálvaro,566.4267806323465,0,0,0,0,0,24.43855264693059,7361,0.0,0.0,0.0,0.0135851107186523,5.755946997172329,0.9369219757321736,8.904086913938967,0.9031801295566102,0.8462093114262198,0.9388716039515141
1005,Campamento,262.13099465044337,0,0,0,0,0,23.4870521331053,4707,0.0,0.0,0.0,0.0212449543233482,5.714454660744507,0.930168077226368,8.457018468380168,0.8578320393500375,0.7979279786253984,0.8853033298194039
1102,Opañel,2346.276812937351,0,0,0,3,3,28.260918452416803,7081,0.0,0.0,0.0,0.0141222991102951,5.371007010337237,0.8742635229734828,8.86531163267185,0.899246984710101,0.7861788368759345,0.8722676241016528
1004,Aluche,2199.7957900310025,0,0,0,3,3,24.07752256265913,19121,0.0,0.0,0.0,0.0052298519951885,4.66606495406116,0.7595168610484601,9.858594783645392,1.0,0.7595168610484601,0.8426860871560623
601,Bellas Vistas,1486.35970456091,0,0,0,4,4,24.934267918449866,5630,0.0,0.0,0.0,0.0177619893428063,5.286620365627454,0.8605275205527273,8.636042325254618,0.8759912051138475,0.7538145397626148,0.8363593456990757
903,Ciudad Universitaria,941.136653690442,0,0,0,0,0,23.37818772586981,4400,0.0,0.0,0.0,0.0227272727272727,5.282375877250288,0.8598366256507658,8.38958706681109,0.8509921800142078,0.7317142445186056,0.8118390061526181
2005,Rosas,1179.0778244841968,0,0,0,0,0,22.82352387456828,5823,0.0,0.0,0.0,0.0171732783788425,5.018290067437565,0.8168501633337711,8.669742589876522,0.8794095690248798,0.7183458500952543,0.7970067350525114
1106,Buenavista,2572.694822363449,0,0,0,4,4,25.639339612872615,7313,0.0,0.0,0.0,0.0136742786817995,4.724446279095268,0.7690198579356256,8.897545598709327,0.90251661560019,0.6940531995133997,0.7700539711109532
807,Mirasierra,1711.9044772948628,0,0,0,4,4,22.630264992074192,6551,0.0,0.0,0.0,0.0152648450618226,4.667705465973304,0.7597838947203637,8.787525625532906,0.8913568128503159,0.6772385508529433,0.7513980712708574
1603,Canillas,2258.069666310787,0,0,0,2,2,22.71338633703888,11611,0.0,0.0,0.0,0.0086125226078718,4.367885358424084,0.7109807963479764,9.35979432514452,0.9494045074934674,0.6750083727940638,0.7489236824607076
506,Castilla,1778.1262582058475,0,0,0,0,0,23.95063173293677,4107,0.0,0.0,0.0,0.0243486729973216,4.899518574691601,0.797517180994136,8.32069157104845,0.8440038112583551,0.6731075403030702,0.7468147034816717
803,Peñagrande,2871.9159414267083,0,0,0,2,2,24.117063983879827,12915,0.0,0.0,0.0,0.0077429345722028,4.2595600473718696,0.6933481870653159,9.466222131878165,0.960199941231164,0.6657528884728504,0.7386546966522675
705,Ríos Rosas,2271.842911996084,0,0,0,3,3,23.724167247611437,6572,0.0,0.0,0.0,0.0152160681679853,4.553914072602094,0.7412615460692996,8.790725628263576,0.8916814029973801,0.6609691353870801,0.7333471091890956
